cycle_id	edge_idx	source_token	target_token	visibility	target_class	review_flag
41458623#0	1	SOX2 abundance/activity	ZFHX4 abundance/activity	T_uncertain	single_symbol_unverified	True
38982480#0	0	PFKP protein-interaction activity	ERK2/MAPK-ERK activity	T_uncertain	complex_or_pathway	True
38982480#0	1	ERK2/MAPK-ERK activity	MYC Ser62 phosphorylation/protein stability	T_invisible	single_symbol_unverified	True
38982480#0	2	MYC Ser62 phosphorylation/protein stability	PFKP transcription	T_visible	single_symbol_unverified	True
42338478#0	0	STRAP	DKK1-LRP6 inhibition	T_uncertain	multi_symbol_unverified	True
42338478#0	1	DKK1-LRP6 inhibition	β-catenin/TCF4	T_uncertain	single_symbol_unverified	True
42338478#0	2	β-catenin/TCF4	STRAP	T_uncertain	single_symbol_unverified	True
39890782#0	0	glycolysis	lactate	T_uncertain	metabolite_or_process	True
39890782#0	1	lactate	H3K14 lactylation	T_invisible	single_symbol_unverified	True
39890782#0	2	H3K14 lactylation	NEDD4	T_uncertain	single_symbol_unverified	True
39890782#0	3	NEDD4	PTEN	T_uncertain	single_symbol_unverified	True
39890782#0	4	PTEN	glycolysis	T_uncertain	metabolite_or_process	True
40155591#0	0	CSF3R-AS	CSF3R mRNA stability	T_visible	single_symbol_unverified	True
40155591#0	1	CSF3R mRNA stability	JAK2/STAT3 activity	T_uncertain	complex_or_pathway	True
40155591#0	2	JAK2/STAT3 activity	CSF3R-AS	T_uncertain	noncoding_rna	True
38825640#0	0	RGS19	MYH9 protein stability	T_invisible	single_symbol_unverified	True
38825640#0	1	MYH9 protein stability	CTNNB1/beta-catenin activity	T_uncertain	single_symbol_unverified	True
38825640#0	2	CTNNB1/beta-catenin activity	MYC	T_uncertain	single_symbol_unverified	True
38825640#0	3	MYC	RGS19	T_uncertain	single_symbol_unverified	True
37137887#0	0	KDM5B promoter activity	IGF2BP1 transcription/abundance	T_visible	single_symbol_unverified	True
37137887#0	1	IGF2BP1 transcription/abundance	KDM5B mRNA stability/protein abundance	T_uncertain	single_symbol_unverified	True
37231451#0	0	METTL3 methyltransferase activity	STAT3 translation/protein	T_invisible	single_symbol_unverified	True
37231451#0	1	STAT3 translation/protein	WTAP transcription/protein	T_visible	single_symbol_unverified	True
37231451#0	2	WTAP transcription/protein	METTL3 nuclear localization/methyltransferase activity	T_invisible	single_symbol_unverified	True
37596320#0	0	pentose phosphate pathway activity	NADPH-supported cholesterol synthesis	T_uncertain	single_symbol_unverified	True
37596320#0	1	NADPH-supported cholesterol synthesis	NADPH depletion-driven pentose phosphate pathway activity	T_uncertain	single_symbol_unverified	True
38051779#0	0	ZDHHC7/DHHC7 palmitoyltransferase activity	STAT3 Cys108 palmitoylation/transcriptional activity	T_uncertain	single_symbol_unverified	True
38051779#0	1	STAT3 Cys108 palmitoylation/transcriptional activity	HIF1A transcription/protein activity	T_visible	single_symbol_unverified	True
38051779#0	2	HIF1A transcription/protein activity	ZDHHC7 transcription	T_visible	single_symbol_unverified	True
41044601#0	0	RPL22L1	MYC protein stability	T_invisible	single_symbol_unverified	True
41044601#0	1	MYC protein stability	RPL22L1	T_uncertain	single_symbol_unverified	True
41044601#1	0	RPL22L1	MAPK/ERK activity	T_uncertain	complex_or_pathway	True
41044601#1	1	MAPK/ERK activity	MYC protein	T_uncertain	single_symbol_unverified	True
41044601#1	2	MYC protein	RPL22L1	T_uncertain	single_symbol_unverified	True
33734616#0	0	MND1	KLF6 promoter occupancy/repressor activity	T_invisible	single_symbol_unverified	True
33734616#0	1	KLF6 promoter occupancy/repressor activity	E2F1	T_uncertain	single_symbol_unverified	True
33734616#0	2	E2F1	MND1	T_uncertain	single_symbol_unverified	True
38778059#0	0	macrophage ST2L/IL1RL1 receptor abundance-signaling state	NF-kappaB activity	T_uncertain	complex_or_pathway	True
38778059#0	1	NF-kappaB activity	ST2L/IL1RL1 transcription and receptor state	T_uncertain	multi_symbol_unverified	True
34163000#0	0	AKT activity	TSPYL5-pT120 stability/nuclear activity	T_invisible	single_symbol_unverified	True
34163000#0	1	TSPYL5-pT120 stability/nuclear activity	PTEN	T_uncertain	single_symbol_unverified	True
34163000#0	2	PTEN	AKT activity	T_uncertain	complex_or_pathway	True
35173544#0	0	TBL1X	TCF7L2/TCF4 promoter-complex activity	T_uncertain	multi_symbol_unverified	True
35173544#0	1	TCF7L2/TCF4 promoter-complex activity	FLOT2	T_uncertain	single_symbol_unverified	True
35173544#0	2	FLOT2	MYC	T_uncertain	single_symbol_unverified	True
35173544#0	3	MYC	TBL1X	T_uncertain	single_symbol_unverified	True
35227262#0	0	circCAMSAP1	SERPINH1	T_uncertain	single_symbol_unverified	True
35227262#0	1	SERPINH1	MYC activity	T_uncertain	single_symbol_unverified	True
35227262#0	2	MYC activity	circCAMSAP1	T_uncertain	noncoding_rna	True
35373703#0	0	LINC01605	miR-942-5p activity	T_uncertain	noncoding_rna	True
35373703#0	1	miR-942-5p activity	IKBKB/IKK-beta activity	T_uncertain	complex_or_pathway	True
35373703#0	2	IKBKB/IKK-beta activity	RELA/p65 activity	T_uncertain	single_symbol_unverified	True
35373703#0	3	RELA/p65 activity	LINC01605	T_uncertain	noncoding_rna	True
35373703#1	0	LINC01605	IGF2BP2 recruitment	T_invisible	single_symbol_unverified	True
35373703#1	1	IGF2BP2 recruitment	USP3 mRNA stability	T_visible	single_symbol_unverified	True
35373703#1	2	USP3 mRNA stability	IKBKB protein stability/activity	T_invisible	single_symbol_unverified	True
35373703#1	3	IKBKB protein stability/activity	RELA/p65 activity	T_uncertain	single_symbol_unverified	True
35373703#1	4	RELA/p65 activity	LINC01605	T_uncertain	noncoding_rna	True
36199071#0	0	circPVT1	BTRC E3 activity toward MYC	T_invisible	multi_symbol_unverified	True
36199071#0	1	BTRC E3 activity toward MYC	MYC protein stability	T_invisible	single_symbol_unverified	True
36199071#0	2	MYC protein stability	circPVT1	T_uncertain	noncoding_rna	True
36199071#1	0	circPVT1	BTRC E3 activity toward MYC	T_invisible	multi_symbol_unverified	True
36199071#1	1	BTRC E3 activity toward MYC	MYC	T_uncertain	single_symbol_unverified	True
36199071#1	2	MYC	SRSF1	T_uncertain	single_symbol_unverified	True
36199071#1	3	SRSF1	circPVT1	T_uncertain	noncoding_rna	True
37774794#0	0	MYC	METTL3	T_uncertain	single_symbol_unverified	True
37774794#0	1	METTL3	LINC01006	T_uncertain	noncoding_rna	True
37774794#0	2	LINC01006	miR-34a activity	T_uncertain	noncoding_rna	True
37774794#0	3	miR-34a activity	MYC	T_uncertain	single_symbol_unverified	True
37774794#1	0	MYC	METTL3	T_uncertain	single_symbol_unverified	True
37774794#1	1	METTL3	LINC01006	T_uncertain	noncoding_rna	True
37774794#1	2	LINC01006	miR-34b activity	T_uncertain	noncoding_rna	True
37774794#1	3	miR-34b activity	MYC	T_uncertain	single_symbol_unverified	True
37774794#2	0	MYC	METTL3	T_uncertain	single_symbol_unverified	True
37774794#2	1	METTL3	LINC01006	T_uncertain	noncoding_rna	True
37774794#2	2	LINC01006	miR-34c activity	T_uncertain	noncoding_rna	True
37774794#2	3	miR-34c activity	MYC	T_uncertain	single_symbol_unverified	True
37774794#3	0	MYC	METTL3	T_uncertain	single_symbol_unverified	True
37774794#3	1	METTL3	LINC01006	T_uncertain	noncoding_rna	True
37774794#3	2	LINC01006	miR-2682 activity	T_uncertain	noncoding_rna	True
37774794#3	3	miR-2682 activity	MYC	T_uncertain	single_symbol_unverified	True
37008055#0	0	HIF1A promoter activity	circ_0000566 biogenesis/abundance	T_visible	noncoding_rna	True
37008055#0	1	circ_0000566 biogenesis/abundance	HIF1A protein stability/activity	T_invisible	single_symbol_unverified	True
41029721#0	0	tumor-cell-secreted SAA1	MDSC TLR2/TLR4 activity	T_uncertain	cell_type_prefixed	True
41029721#0	1	MDSC TLR2/TLR4 activity	MDSC IL1B secretion	T_uncertain	cell_type_prefixed	True
41029721#0	2	MDSC IL1B secretion	tumor-cell IL1R/NF-kappaB activity	T_uncertain	cell_type_prefixed	True
41029721#0	3	tumor-cell IL1R/NF-kappaB activity	tumor-cell SAA1 transcription/secretion	T_visible	cell_type_prefixed	True
35342355#0	0	CASC15	miR-23b-3p activity	T_uncertain	noncoding_rna	True
35342355#0	1	miR-23b-3p activity	SMAD3	T_uncertain	single_symbol_unverified	True
35342355#0	2	SMAD3	CASC15	T_uncertain	noncoding_rna	True
35342355#1	0	CASC15	miR-24-3p activity	T_uncertain	noncoding_rna	True
35342355#1	1	miR-24-3p activity	HNF1B	T_uncertain	single_symbol_unverified	True
35342355#1	2	HNF1B	SMAD3	T_uncertain	single_symbol_unverified	True
35342355#1	3	SMAD3	CASC15	T_uncertain	noncoding_rna	True
41963301#0	0	FOXM1 transcriptional activity	SMAD4 transcription	T_visible	single_symbol_unverified	True
41963301#0	1	SMAD4 transcription	SMAD4 transcriptional activity	T_visible	single_symbol_unverified	True
41963301#0	2	SMAD4 transcriptional activity	FOXM1 transcription	T_visible	single_symbol_unverified	True
41963301#1	0	FOXM1 protein interaction	SMAD4 protein stability	T_invisible	single_symbol_unverified	True
41963301#1	1	SMAD4 protein stability	SMAD4 transcriptional activity	T_visible	single_symbol_unverified	True
41963301#1	2	SMAD4 transcriptional activity	FOXM1 transcription	T_visible	single_symbol_unverified	True
37149664#0	0	ALKBH5 activity	HDAC4 mRNA/protein stability	T_uncertain	single_symbol_unverified	True
37149664#0	1	HDAC4 mRNA/protein stability	HIF1A protein stability/activity	T_invisible	single_symbol_unverified	True
37149664#0	2	HIF1A protein stability/activity	ALKBH5	T_uncertain	single_symbol_unverified	True
35534983#0	0	TPT1-AS1	miR-30a-5p activity	T_uncertain	noncoding_rna	True
35534983#0	1	miR-30a-5p activity	ITGB3	T_uncertain	single_symbol_unverified	True
35534983#0	2	ITGB3	STAT3 activity	T_uncertain	single_symbol_unverified	True
35534983#0	3	STAT3 activity	TPT1-AS1	T_uncertain	noncoding_rna	True
34245303#0	0	PVT1	HIF1A transcription	T_visible	single_symbol_unverified	True
34245303#0	1	HIF1A transcription	PVT1 transcription	T_visible	noncoding_rna	True
34245303#1	0	PVT1	HIF1A transcription	T_visible	single_symbol_unverified	True
34245303#1	1	HIF1A transcription	PVT1 RNA stability	T_uncertain	noncoding_rna	True
34245303#2	0	PVT1	HIF1A protein stability	T_invisible	single_symbol_unverified	True
34245303#2	1	HIF1A protein stability	PVT1 transcription	T_visible	noncoding_rna	True
34245303#3	0	PVT1	HIF1A protein stability	T_invisible	single_symbol_unverified	True
34245303#3	1	HIF1A protein stability	PVT1 RNA stability	T_uncertain	noncoding_rna	True
33648560#0	0	HMGA1	TRIP13	T_uncertain	single_symbol_unverified	True
33648560#0	1	TRIP13	FBXW7	T_uncertain	single_symbol_unverified	True
33648560#0	2	FBXW7	MYC	T_uncertain	single_symbol_unverified	True
33648560#0	3	MYC	HMGA1	T_uncertain	single_symbol_unverified	True
33648560#1	0	TRIP13	FBXW7	T_uncertain	single_symbol_unverified	True
33648560#1	1	FBXW7	MYC	T_uncertain	single_symbol_unverified	True
33648560#1	2	MYC	TRIP13	T_uncertain	single_symbol_unverified	True
35711895#0	0	LUCAT1	ELAVL1 recruitment/RNA-binding activity	T_invisible	multi_symbol_unverified	True
35711895#0	1	ELAVL1 recruitment/RNA-binding activity	LIN28B mRNA stability	T_visible	single_symbol_unverified	True
35711895#0	2	LIN28B mRNA stability	SOX2 mRNA stability/activity	T_visible	single_symbol_unverified	True
35711895#0	3	SOX2 mRNA stability/activity	LUCAT1 transcription	T_visible	noncoding_rna	True
36566349#0	0	m6A-RN7SK secondary-structure activity	IGF2BP3 mRNA stability/abundance	T_visible	single_symbol_unverified	True
36566349#0	1	IGF2BP3 mRNA stability/abundance	IGF2BP3 m6A-reader activity	T_uncertain	single_symbol_unverified	True
36566349#0	2	IGF2BP3 m6A-reader activity	RN7SK secondary-structure activity	T_invisible	noncoding_rna	True
36566349#1	0	m6A-RN7SK secondary-structure activity	YTHDC2 mRNA stability/abundance	T_visible	single_symbol_unverified	True
36566349#1	1	YTHDC2 mRNA stability/abundance	YTHDC2 m6A-reader activity	T_uncertain	single_symbol_unverified	True
36566349#1	2	YTHDC2 m6A-reader activity	RN7SK secondary-structure activity	T_invisible	noncoding_rna	True
