cycle_id	pmid	status	cancer	compartment	length	closure	sign_product	n_unmapped_nodes	raw
41458623#0	41458623	FT1-retained	Glioma	Cell-intrinsic	2	CLOSED	1	0	ZFHX4 abundance/activity -> SOX2 abundance/activity -> ZFHX4 abundance/activity
38982480#0	38982480	FT1-retained	Head and neck squamous cell carcinoma	Cell-intrinsic	3	CLOSED	1	1	PFKP protein-interaction activity -> ERK2/MAPK-ERK activity -> MYC Ser62 phosphorylation/protein stability -> PFKP transcription
42338478#0	42338478	Q2A-retained	Hepatocellular carcinoma	Cell-intrinsic	3	CLOSED	-1	0	STRAP ┤ DKK1-LRP6 inhibition → β-catenin/TCF4 → STRAP
39890782#0	39890782	FT1-retained	Hepatocellular carcinoma	Cell-intrinsic	5	NOT_CLOSED	1	3	glycolysis -> lactate -> H3K14 lactylation -> NEDD4 -| PTEN -| glycolysis
40155591#0	40155591	FT1-retained	Hepatocellular carcinoma	Cell-intrinsic	3	NOT_CLOSED	1	3	CSF3R-AS -> CSF3R mRNA stability -> JAK2/STAT3 activity -> CSF3R-AS
38825640#0	38825640	FT1-retained	Hepatocellular carcinoma	Cell-intrinsic	4	CLOSED	1	0	RGS19 -> MYH9 protein stability -> CTNNB1/beta-catenin activity -> MYC -> RGS19
37137887#0	37137887	FT1-retained	Hepatocellular carcinoma	Cell-intrinsic	2	CLOSED	1	0	KDM5B promoter activity -> IGF2BP1 transcription/abundance -> KDM5B mRNA stability/protein abundance
37231451#0	37231451	FT1-retained	Hepatocellular carcinoma	Cell-intrinsic	3	CLOSED	1	0	METTL3 methyltransferase activity -> STAT3 translation/protein -> WTAP transcription/protein -> METTL3 nuclear localization/methyltransferase activity
37596320#0	37596320	FT1-retained	Hepatocellular carcinoma	Cell-intrinsic	2	NOT_CLOSED	1	1	pentose phosphate pathway activity -> NADPH-supported cholesterol synthesis -> NADPH depletion-driven pentose phosphate pathway activity
38051779#0	38051779	FT1-retained	Hepatocellular carcinoma	Cell-intrinsic	3	CLOSED	1	0	ZDHHC7/DHHC7 palmitoyltransferase activity -> STAT3 Cys108 palmitoylation/transcriptional activity -> HIF1A transcription/protein activity -> ZDHHC7 transcription
41044601#0	41044601	FT1-retained	Lung adenocarcinoma	Cell-intrinsic	2	CLOSED	1	0	RPL22L1 -> MYC protein stability -> RPL22L1
41044601#1	41044601	FT1-retained	Lung adenocarcinoma	Cell-intrinsic	3	CLOSED	1	1	RPL22L1 -> MAPK/ERK activity -> MYC protein -> RPL22L1
33734616#0	33734616	FT1-retained	Lung adenocarcinoma	Cell-intrinsic	3	CLOSED	1	0	MND1 -| KLF6 promoter occupancy/repressor activity -| E2F1 -> MND1
38778059#0	38778059	FT1-retained	Lung cancer	Intercellular/TME	2	NOT_CLOSED	1	2	macrophage ST2L/IL1RL1 receptor abundance-signaling state -> NF-kappaB activity -> ST2L/IL1RL1 transcription and receptor state
34163000#0	34163000	FT1-retained	Lung cancer	Cell-intrinsic	3	NOT_CLOSED	1	2	AKT activity -> TSPYL5-pT120 stability/nuclear activity -| PTEN -| AKT activity
35173544#0	35173544	FT1-retained	Nasopharyngeal carcinoma	Cell-intrinsic	4	CLOSED	1	0	TBL1X -> TCF7L2/TCF4 promoter-complex activity -> FLOT2 -> MYC -> TBL1X
35227262#0	35227262	FT1-retained	Nasopharyngeal carcinoma	Cell-intrinsic	3	NOT_CLOSED	1	2	circCAMSAP1 → SERPINH1 → MYC activity → circCAMSAP1
35373703#0	35373703	FT1-retained	Nasopharyngeal carcinoma	Cell-intrinsic	4	NOT_CLOSED	1	4	LINC01605 -| miR-942-5p activity -| IKBKB/IKK-beta activity -> RELA/p65 activity -> LINC01605
35373703#1	35373703	FT1-retained	Nasopharyngeal carcinoma	Cell-intrinsic	5	NOT_CLOSED	1	2	LINC01605 -> IGF2BP2 recruitment -> USP3 mRNA stability -> IKBKB protein stability/activity -> RELA/p65 activity -> LINC01605
36199071#0	36199071	FT1-retained	Nasopharyngeal carcinoma	Cell-intrinsic	3	NOT_CLOSED	1	2	circPVT1 -| BTRC E3 activity toward MYC -| MYC protein stability -> circPVT1
36199071#1	36199071	FT1-retained	Nasopharyngeal carcinoma	Cell-intrinsic	4	NOT_CLOSED	1	2	circPVT1 -| BTRC E3 activity toward MYC -| MYC -> SRSF1 -> circPVT1
37774794#0	37774794	FT1-retained	Non-small-cell lung cancer	Cell-intrinsic	4	CLOSED	1	2	MYC -> METTL3 -> LINC01006 -| miR-34a activity -| MYC
37774794#1	37774794	FT1-retained	Non-small-cell lung cancer	Cell-intrinsic	4	CLOSED	1	2	MYC -> METTL3 -> LINC01006 -| miR-34b activity -| MYC
37774794#2	37774794	FT1-retained	Non-small-cell lung cancer	Cell-intrinsic	4	CLOSED	1	2	MYC -> METTL3 -> LINC01006 -| miR-34c activity -| MYC
37774794#3	37774794	FT1-retained	Non-small-cell lung cancer	Cell-intrinsic	4	CLOSED	1	2	MYC -> METTL3 -> LINC01006 -| miR-2682 activity -| MYC
37008055#0	37008055	FT1-retained	Osteosarcoma	Cell-intrinsic	2	CLOSED	1	1	HIF1A promoter activity -> circ_0000566 biogenesis/abundance -> HIF1A protein stability/activity
41029721#0	41029721	FT1-retained	Ovarian cancer	Intercellular/TME	4	NOT_CLOSED	1	5	tumor-cell-secreted SAA1 -> MDSC TLR2/TLR4 activity -> MDSC IL1B secretion -> tumor-cell IL1R/NF-kappaB activity -> tumor-cell SAA1 transcription/secretion
35342355#0	35342355	FT1-retained	Ovarian cancer	Cell-intrinsic	3	NOT_CLOSED	1	3	CASC15 ┤ miR-23b-3p activity ┤ SMAD3 → CASC15
35342355#1	35342355	FT1-retained	Ovarian cancer	Cell-intrinsic	4	NOT_CLOSED	1	3	CASC15 ┤ miR-24-3p activity ┤ HNF1B → SMAD3 → CASC15
41963301#0	41963301	FT1-retained	Pancreatic cancer	Cell-intrinsic	3	CLOSED	1	0	FOXM1 transcriptional activity -> SMAD4 transcription -> SMAD4 transcriptional activity -> FOXM1 transcription
41963301#1	41963301	FT1-retained	Pancreatic cancer	Cell-intrinsic	3	CLOSED	1	0	FOXM1 protein interaction -> SMAD4 protein stability -> SMAD4 transcriptional activity -> FOXM1 transcription
37149664#0	37149664	FT1-retained	Pancreatic cancer	Cell-intrinsic	3	CLOSED	1	0	ALKBH5 activity -> HDAC4 mRNA/protein stability -> HIF1A protein stability/activity -> ALKBH5
35534983#0	35534983	FT1-retained	Pancreatic cancer	Cell-intrinsic	4	NOT_CLOSED	1	3	TPT1-AS1 -| miR-30a-5p activity -| ITGB3 -> STAT3 activity -> TPT1-AS1
34245303#0	34245303	FT1-retained	Pancreatic cancer	Cell-intrinsic	2	NOT_CLOSED	1	2	PVT1 -> HIF1A transcription -> PVT1 transcription
34245303#1	34245303	FT1-retained	Pancreatic cancer	Cell-intrinsic	2	NOT_CLOSED	1	2	PVT1 -> HIF1A transcription -> PVT1 RNA stability
34245303#2	34245303	FT1-retained	Pancreatic cancer	Cell-intrinsic	2	NOT_CLOSED	1	2	PVT1 -> HIF1A protein stability -> PVT1 transcription
34245303#3	34245303	FT1-retained	Pancreatic cancer	Cell-intrinsic	2	NOT_CLOSED	1	2	PVT1 -> HIF1A protein stability -> PVT1 RNA stability
33648560#0	33648560	FT1-retained	Perihilar cholangiocarcinoma	Cell-intrinsic	4	CLOSED	1	0	HMGA1 → TRIP13 ┤ FBXW7 ┤ MYC → HMGA1
33648560#1	33648560	FT1-retained	Perihilar cholangiocarcinoma	Cell-intrinsic	3	CLOSED	1	0	TRIP13 ┤ FBXW7 ┤ MYC → TRIP13
35711895#0	35711895	FT1-retained	Triple-negative breast cancer	Cell-intrinsic	4	NOT_CLOSED	1	2	LUCAT1 -> ELAVL1 recruitment/RNA-binding activity -> LIN28B mRNA stability -> SOX2 mRNA stability/activity -> LUCAT1 transcription
36566349#0	36566349	FT1-retained	Unresolved cancer context	Cell-intrinsic	3	NOT_CLOSED	1	2	m6A-RN7SK secondary-structure activity -> IGF2BP3 mRNA stability/abundance -> IGF2BP3 m6A-reader activity -> RN7SK secondary-structure activity
36566349#1	36566349	FT1-retained	Unresolved cancer context	Cell-intrinsic	3	NOT_CLOSED	1	2	m6A-RN7SK secondary-structure activity -> YTHDC2 mRNA stability/abundance -> YTHDC2 m6A-reader activity -> RN7SK secondary-structure activity
