cycle_id	pmid	edge_idx	source_token	target_token	source	target	sign	source_class	target_class	visibility	structural_reason	confirmatory_eligible	compartment	status	review_flag
36008860#0	36008860	2	active TGFB1 signaling	SMAD3 phosphorylation/nuclear activity	TGFB1	SMAD3	1	single_symbol_unverified	single_symbol_unverified	T_invisible	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
40454092#0	40454092	0	AHR transcriptional activity	HEGBC transcription	AHR		1	single_symbol_unverified	noncoding_rna	T_visible	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
40454092#0	40454092	1	HEGBC transcription	AHR transcription/activity		AHR	1	noncoding_rna	single_symbol_unverified	T_visible	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
42127732#0	42127732	0	CDH11	TGF-beta pathway activity	CDH11		1	single_symbol_unverified	complex_or_pathway	T_uncertain	complex_or_pathway	False	Cell-intrinsic	FT1-retained	True
42127732#0	42127732	1	TGF-beta pathway activity	SNAI2/Snail2 nuclear activity		SNAI2	1	complex_or_pathway	single_symbol_unverified	T_invisible	complex_or_pathway	False	Cell-intrinsic	FT1-retained	True
42127732#0	42127732	2	SNAI2/Snail2 nuclear activity	CDH11 transcription	SNAI2	CDH11	1	single_symbol_unverified	single_symbol_unverified	T_visible	structurally_eligible	True	Cell-intrinsic	FT1-retained	True
42330341#0	42330341	0	tumour CXCL8	neuronal CXCR2			1	cell_type_prefixed	cell_type_prefixed	T_uncertain	intercellular	False	Intercellular/TME	Q2A-retained	True
42330341#0	42330341	1	neuronal CXCR2	neuronal MIF			1	cell_type_prefixed	cell_type_prefixed	T_uncertain	intercellular	False	Intercellular/TME	Q2A-retained	True
42330341#0	42330341	2	neuronal MIF	tumour VCAM1/ERK/STAT3			1	cell_type_prefixed	cell_type_prefixed	T_uncertain	intercellular	False	Intercellular/TME	Q2A-retained	True
42330341#0	42330341	3	tumour VCAM1/ERK/STAT3	tumour CXCL8			1	cell_type_prefixed	cell_type_prefixed	T_uncertain	intercellular	False	Intercellular/TME	Q2A-retained	True
36632455#0	36632455	0	tumor-cell-secreted BGN	mesothelial TLR2/TLR4/NF-kappaB activity			1	cell_type_prefixed	cell_type_prefixed	T_uncertain	intercellular	False	Intercellular/TME	FT1-retained	True
36632455#0	36632455	1	mesothelial TLR2/TLR4/NF-kappaB activity	CAF-like-cell FAP secretion			1	cell_type_prefixed	cell_type_prefixed	T_uncertain	intercellular	False	Intercellular/TME	FT1-retained	True
36632455#0	36632455	2	CAF-like-cell FAP secretion	tumor-cell STAT3 activity			1	cell_type_prefixed	cell_type_prefixed	T_uncertain	intercellular	False	Intercellular/TME	FT1-retained	True
36632455#0	36632455	3	tumor-cell STAT3 activity	tumor-cell BGN transcription			1	cell_type_prefixed	cell_type_prefixed	T_visible	intercellular	False	Intercellular/TME	FT1-retained	True
35289315#0	35289315	0	GATA2 activity	secreted CGA	GATA2	CGA	1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
35289315#0	35289315	1	secreted CGA	EGFR activity	CGA	EGFR	1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
35289315#0	35289315	2	EGFR activity	GATA2 expression/phosphorylation	EGFR	GATA2	1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
33526767#0	33526767	0	secreted WNT7B	FTO activity	WNT7B	FTO	-1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
33526767#0	33526767	1	FTO activity	TCF7L2 abundance/activity	FTO	TCF7L2	-1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
33526767#0	33526767	2	TCF7L2 abundance/activity	WNT7B	TCF7L2	WNT7B	1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
33526767#1	33526767	0	secreted WNT7B	CTNNB1/beta-catenin activity	WNT7B	CTNNB1	1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
33526767#1	33526767	1	CTNNB1/beta-catenin activity	TCF7L2/beta-catenin activity	CTNNB1		1	single_symbol_unverified	complex_or_pathway	T_uncertain	complex_or_pathway	False	Cell-intrinsic	FT1-retained	True
33526767#1	33526767	2	TCF7L2/beta-catenin activity	WNT7B		WNT7B	1	complex_or_pathway	single_symbol_unverified	T_uncertain	complex_or_pathway	False	Cell-intrinsic	FT1-retained	True
33731207#0	33731207	0	circFAM73A	miR-490-3p			-1	noncoding_rna	noncoding_rna	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
33731207#0	33731207	1	miR-490-3p	HMGA2		HMGA2	-1	noncoding_rna	single_symbol_unverified	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
33731207#0	33731207	2	HMGA2	E2F1 activity	HMGA2	E2F1	1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
33731207#0	33731207	3	E2F1 activity	circFAM73A	E2F1		1	single_symbol_unverified	noncoding_rna	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
36860162#0	36860162	0	GATA4	CDX2	GATA4	CDX2	1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	Q2A-retained	True
36860162#0	36860162	1	CDX2	GATA4	CDX2	GATA4	1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	Q2A-retained	True
41458623#0	41458623	0	ZFHX4 abundance/activity	SOX2 abundance/activity	ZFHX4	SOX2	1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
41458623#0	41458623	1	SOX2 abundance/activity	ZFHX4 abundance/activity	SOX2	ZFHX4	1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
38982480#0	38982480	0	PFKP protein-interaction activity	ERK2/MAPK-ERK activity	PFKP		1	single_symbol_unverified	complex_or_pathway	T_uncertain	complex_or_pathway	False	Cell-intrinsic	FT1-retained	True
38982480#0	38982480	1	ERK2/MAPK-ERK activity	MYC Ser62 phosphorylation/protein stability		MYC	1	complex_or_pathway	single_symbol_unverified	T_invisible	complex_or_pathway	False	Cell-intrinsic	FT1-retained	True
38982480#0	38982480	2	MYC Ser62 phosphorylation/protein stability	PFKP transcription	MYC	PFKP	1	single_symbol_unverified	single_symbol_unverified	T_visible	structurally_eligible	True	Cell-intrinsic	FT1-retained	True
42338478#0	42338478	0	STRAP	DKK1-LRP6 inhibition	STRAP	DKK1	-1	single_symbol_unverified	multi_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	Q2A-retained	True
42338478#0	42338478	1	DKK1-LRP6 inhibition	β-catenin/TCF4	DKK1	TCF4	1	multi_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	Q2A-retained	True
42338478#0	42338478	2	β-catenin/TCF4	STRAP	TCF4	STRAP	1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	Q2A-retained	True
39890782#0	39890782	0	glycolysis	lactate			1	metabolite_or_process	metabolite_or_process	T_uncertain	metabolite_or_process	False	Cell-intrinsic	FT1-retained	True
39890782#0	39890782	1	lactate	H3K14 lactylation		H3K14	1	metabolite_or_process	single_symbol_unverified	T_invisible	metabolite_or_process	False	Cell-intrinsic	FT1-retained	True
39890782#0	39890782	2	H3K14 lactylation	NEDD4	H3K14	NEDD4	1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
39890782#0	39890782	3	NEDD4	PTEN	NEDD4	PTEN	-1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
39890782#0	39890782	4	PTEN	glycolysis	PTEN		-1	single_symbol_unverified	metabolite_or_process	T_uncertain	metabolite_or_process	False	Cell-intrinsic	FT1-retained	True
40155591#0	40155591	0	CSF3R-AS	CSF3R mRNA stability		CSF3R	1	noncoding_rna	single_symbol_unverified	T_visible	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
40155591#0	40155591	1	CSF3R mRNA stability	JAK2/STAT3 activity	CSF3R		1	single_symbol_unverified	complex_or_pathway	T_uncertain	complex_or_pathway	False	Cell-intrinsic	FT1-retained	True
40155591#0	40155591	2	JAK2/STAT3 activity	CSF3R-AS			1	complex_or_pathway	noncoding_rna	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
38825640#0	38825640	0	RGS19	MYH9 protein stability	RGS19	MYH9	1	single_symbol_unverified	single_symbol_unverified	T_invisible	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
38825640#0	38825640	1	MYH9 protein stability	CTNNB1/beta-catenin activity	MYH9	CTNNB1	1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
38825640#0	38825640	2	CTNNB1/beta-catenin activity	MYC	CTNNB1	MYC	1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
38825640#0	38825640	3	MYC	RGS19	MYC	RGS19	1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
37137887#0	37137887	0	KDM5B promoter activity	IGF2BP1 transcription/abundance	KDM5B	IGF2BP1	1	single_symbol_unverified	single_symbol_unverified	T_visible	structurally_eligible	True	Cell-intrinsic	FT1-retained	True
37137887#0	37137887	1	IGF2BP1 transcription/abundance	KDM5B mRNA stability/protein abundance	IGF2BP1	KDM5B	1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
37231451#0	37231451	0	METTL3 methyltransferase activity	STAT3 translation/protein	METTL3	STAT3	1	single_symbol_unverified	single_symbol_unverified	T_invisible	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
37231451#0	37231451	1	STAT3 translation/protein	WTAP transcription/protein	STAT3	WTAP	1	single_symbol_unverified	single_symbol_unverified	T_visible	structurally_eligible	True	Cell-intrinsic	FT1-retained	True
37231451#0	37231451	2	WTAP transcription/protein	METTL3 nuclear localization/methyltransferase activity	WTAP	METTL3	1	single_symbol_unverified	single_symbol_unverified	T_invisible	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
37596320#0	37596320	0	pentose phosphate pathway activity	NADPH-supported cholesterol synthesis		NADPH	1	metabolite_or_process	single_symbol_unverified	T_uncertain	metabolite_or_process	False	Cell-intrinsic	FT1-retained	True
37596320#0	37596320	1	NADPH-supported cholesterol synthesis	NADPH depletion-driven pentose phosphate pathway activity	NADPH	NADPH	1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
38051779#0	38051779	0	ZDHHC7/DHHC7 palmitoyltransferase activity	STAT3 Cys108 palmitoylation/transcriptional activity	ZDHHC7	STAT3	1	multi_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
38051779#0	38051779	1	STAT3 Cys108 palmitoylation/transcriptional activity	HIF1A transcription/protein activity	STAT3	HIF1A	1	single_symbol_unverified	single_symbol_unverified	T_visible	structurally_eligible	True	Cell-intrinsic	FT1-retained	True
38051779#0	38051779	2	HIF1A transcription/protein activity	ZDHHC7 transcription	HIF1A	ZDHHC7	1	single_symbol_unverified	single_symbol_unverified	T_visible	structurally_eligible	True	Cell-intrinsic	FT1-retained	True
41044601#0	41044601	0	RPL22L1	MYC protein stability	RPL22L1	MYC	1	single_symbol_unverified	single_symbol_unverified	T_invisible	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
41044601#0	41044601	1	MYC protein stability	RPL22L1	MYC	RPL22L1	1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
41044601#1	41044601	0	RPL22L1	MAPK/ERK activity	RPL22L1		1	single_symbol_unverified	complex_or_pathway	T_uncertain	complex_or_pathway	False	Cell-intrinsic	FT1-retained	True
41044601#1	41044601	1	MAPK/ERK activity	MYC protein		MYC	1	complex_or_pathway	single_symbol_unverified	T_uncertain	complex_or_pathway	False	Cell-intrinsic	FT1-retained	True
41044601#1	41044601	2	MYC protein	RPL22L1	MYC	RPL22L1	1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
33734616#0	33734616	0	MND1	KLF6 promoter occupancy/repressor activity	MND1	KLF6	-1	single_symbol_unverified	single_symbol_unverified	T_invisible	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
33734616#0	33734616	1	KLF6 promoter occupancy/repressor activity	E2F1	KLF6	E2F1	-1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
33734616#0	33734616	2	E2F1	MND1	E2F1	MND1	1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
38778059#0	38778059	0	macrophage ST2L/IL1RL1 receptor abundance-signaling state	NF-kappaB activity			1	cell_type_prefixed	complex_or_pathway	T_uncertain	intercellular	False	Intercellular/TME	FT1-retained	True
38778059#0	38778059	1	NF-kappaB activity	ST2L/IL1RL1 transcription and receptor state		ST2L	1	complex_or_pathway	multi_symbol_unverified	T_uncertain	complex_or_pathway	False	Intercellular/TME	FT1-retained	True
34163000#0	34163000	0	AKT activity	TSPYL5-pT120 stability/nuclear activity		TSPYL5	1	complex_or_pathway	single_symbol_unverified	T_invisible	complex_or_pathway	False	Cell-intrinsic	FT1-retained	True
34163000#0	34163000	1	TSPYL5-pT120 stability/nuclear activity	PTEN	TSPYL5	PTEN	-1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
34163000#0	34163000	2	PTEN	AKT activity	PTEN		-1	single_symbol_unverified	complex_or_pathway	T_uncertain	complex_or_pathway	False	Cell-intrinsic	FT1-retained	True
35173544#0	35173544	0	TBL1X	TCF7L2/TCF4 promoter-complex activity	TBL1X	TCF7L2	1	single_symbol_unverified	multi_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
